race	race_normalized
"""Blessed by Light"""	"""Blessed By Light"""
(Retired) Deus	(Retired) Deus
(WoW) Draenei	(Wow) Draenei
?????	?????
Owl Aarakocra	Aarakocra
COPY_OF_Aarakocra	Aarakocra
Aarakocra	Aarakocra
Half Drow/Half Aasimar	Aasimar
Protector Aasimar	Aasimar
COPY_OF_Aasimar	Aasimar
Ailthizar (Aasimar)	Aasimar
Aasimar	Aasimar
Aasimar Protetor	Aasimar
Human-Aasimar	Aasimar
Aasimar (Dragon Child)	Aasimar
Aasimar (Volo's Guide to Monsters)	Aasimar
Abeil	Abeil
Abomination	Abomination
Abyssal Cambion 	Abyssal Cambion
Ackrylil	Ackrylil
Ae'ren	Ae'Ren
Aeolan	Aeolan
Ashborn	Aetherborn
Aetheril	Aetheril
Ailead	Ailead
Ajatar	Ajatar
Alakar	Alakar
Alchemical Scarecrow	Alchemical Scarecrow
Alien	Alien
Alien Grey	Alien Grey
Alu-fiend	Alu-Fiend
Amazon	Amazon
Amazonian	Amazonian
An'Ku	An'Ku
Ancient Ones	Ancient Ones
Android	Android
Angel of Death	Angel Of Death
Angelborn	Angelborn
Angelic Phoenix	Angelic Phoenix
Angels	Angels
Angler Titan	Angler Titan
Animated Armor	Animated Armor
Anka	Anka
Annülian	Annülian
Anthro equine	Anthro Equine
Anthropomorph	Anthropomorph
Anubite	Anubite
Ape	Ape
Aperture Device	Aperture Device
Aquari	Aquari
Arachni	Arachni
Arachnoid	Arachnoid
Aranthi (GnG)	Aranthi (Gng)
Archon	Archon
Arenea	Arenea
Aroura (Ratfolk)	Aroura (Ratfolk)
Ashborn (AotG)	Ashborn (Aotg)
Ashera	Ashera
Asmodean Devil	Asmodean Devil
Atlantic Peoples	Atlantic Peoples
Atla’Harkun	Atla’Harkun
Attalwen	Attalwen
Atuin	Atuin
Auld	Auld
Auricar	Auricar
Automaton	Automaton
Autumn Hamadryad	Autumn Hamadryad
Avali	Avali
Avatar	Avatar
Aven	Aven
Heaven Born	Aven
Awakened Animal	Awakened Animal
Awakened Ape	Awakened Ape
Awakened Beast	Awakened Beast
Awakened Cat	Awakened Cat
Awakened Dog	Awakened Dog
Awakened Flesh Golem	Awakened Flesh Golem
Awakened fox	Awakened Fox
Awakened Half-Dragon	Awakened Half-Dragon
Awakened Rabbit	Awakened Rabbit
Awakened Tree	Awakened Tree
Awakened Undead	Awakened Undead
Awakened White Tiger	Awakened White Tiger
Awoken Rabbit	Awoken Rabbit
Axiom	Axiom
Azlanti Pureblood	Azlanti Pureblood
Bag of Holding	Bag Of Holding
Baketako	Baketako
Bat	Bat
Bathynomian	Bathynomian
Beast	Beast
Beastfolk	Beastfolk
Beastkin	Beastkin
Beevallan	Beevallan
bernuR	Bernur
Black Rider	Black Rider
Blackblood	Blackblood
Bladeling	Bladeling
Blood Angel	Blood Angel
Bloodkissed	Bloodkissed
Bloom Children	Bloom Children
Blusian	Blusian
Bonestruct	Bonestruct
Born of the Storm	Born Of The Storm
Breton	Breton
Briarling	Briarling
Brown Bear	Brown Bear
Brownie	Brownie
Buffkin	Buffkin
Bugbear	Bugbear
Faden_Bugbear	Bugbear
Bear	Bugbear
Bullywug	Bullywug
Bureese	Bureese
Børn af fortiden	Børn Af Fortiden
Calamaris	Calamaris
Cambion 	Cambion
Cambion	Cambion
Cambion (Redeemed)	Cambion (Redeemed)
Canid	Canid
Canidae	Canidae
Castorian	Castorian
Cat	Cat
Cat Folk	Cat Folk
Cat folk	Cat Folk
Cathominem	Cathominem
Catkin	Catkin
Cecaelia	Cecaelia
Centaur-UA	Centaur
Caenara	Centaur
Sylvan Centaur	Centaur
Cervitaur	Centaur
Centaur	Centaur
Chaladon	Chaladon
Changeling	Changeling
Changeling (UA)	Changeling
Changeling 	Changeling
Orc-Changeling	Changeling
Charr	Charr
Chetova	Chetova
Chimera	Chimera
Chinaman	Chinaman
Chinu	Chinu
Chitine	Chitine
Chronomancer	Chronomancer
Cl4-PPY	Cl4-Ppy
Clockwork	Clockwork
Clockwork Construct	Clockwork Construct
Clockwork Golem	Clockwork Golem
 Clockworks	Clockworks
Cnidarian	Cnidarian
Construct	Construct
Copper Golem	Copper Golem
COPY_OF_Eldritch Fiend - Succubus Variant	Copy_Of_Eldritch Fiend - Succubus Variant
Corgotten	Corgotten
Crabtaur	Crabtaur
Craislusian 	Craislusian
Crimson Demon	Crimson Demon
Crocadilian	Crocadilian
Crow	Crow
Cursed Feline	Cursed Feline
Cursed Variant (Swamp)	Cursed Variant (Swamp)
Custom Lineage	Custom Lineage
Lineages	Custom Lineage
Cutis	Cutis
Cyberborn	Cyberborn
Cyborg	Cyborg
Daegoling	Daegoling
Daevi	Daevi
Dalharil	Dalharil
Darfellan	Darfellan
Dark (Drow)	Dark (Drow)
Darklains	Darklains
Darkstalker	Darkstalker
Davi	Davi
DeathClaw	Deathclaw
Deep Gnome	Deep Gnome
Degmon	Degmon
Deku Scrub	Deku Scrub
Delunian Mageforged	Delunian Mageforged
Demigod	Demigod
Demon	Demon
Derro	Derro
Desterran	Desterran
Deva	Deva
Deva (Zeitgeist)	Deva (Zeitgeist)
Devil	Devil
Dhamphir	Dhampir
Dhampire	Dhampir
Dhampir (Archived)	Dhampir
WhiteSpire - Dhampir	Dhampir
Dhampir - Midgard	Dhampir
Dhampir	Dhampir
Damphir	Dhampir
Dhampyr	Dhampir
Displacer Beast	Displacer Beast
DL	Dl
Dog	Dog
Doppelganger	Doppelganger
Doppelganger Race	Doppelganger Race
Doppleganger	Doppleganger
Dothraki 	Dothraki
Draak'ar	Draak'Ar
Draconi	Draconi
Draconic Angel	Draconic Angel
Draconic angel	Draconic Angel
Draconic Races (Archived)	Draconic Races (Archived)
Draconid	Draconid
Draenei	Draenei
Dragon Knight	Dragon Knight
Half-Dragonborn	Dragonborn
Dragonkin	Dragonborn
Mercury Dragonborn	Dragonborn
Half Elf Dragonborn	Dragonborn
Elf-Dragonborn	Dragonborn
Dragonborn II	Dragonborn
The dragon born	Dragonborn
Pink Dragonborn	Dragonborn
Prismatic Dragonborn	Dragonborn
Purple Dragonborn	Dragonborn
Dexterous Dragonborn	Dragonborn
Demonborn	Dragonborn
Adamantine Dragonborn	Dragonborn
Dragoon	Dragonborn
Dragonborn (Revised)	Dragonborn
Dragonborn Halfling	Dragonborn
Dragon	Dragonborn
Human/Dragonborn	Dragonborn
Dragonborn (Breath Weapon Modified)	Dragonborn
